player,role,amount,team,year,player_origin,amount_log,amount_scaled,year_scaled,role_encoded,team_encoded,origin_encoded,amount_normalized
Aryaman Vikram Birla,All-Rounder,3000000,Rajasthan Royals,2018,Indian,14.914123179965662,-0.7575631193760233,0.030632514193211002,19833904.10958904,17672500.0,14959009.74025974,0.2568851167581414
Aryan Juyal,Wicket Keeper,2000000,Mumbai Indians,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,18055555.555555556,16299065.420560747,14959009.74025974,0.162076444851182
Asela Gunarathna,Batsman,3000000,Mumbai Indians,2017,Overseas,14.914123179965662,-0.7575631193760233,-0.3070213354365553,19669590.643274855,16299065.420560747,26280014.124293786,0.2568851167581414
Ashish Nehra,Bowler,20000000,Chennai Super Kings,2014,Indian,16.811242881518265,0.6187047847425251,-1.319982884325854,18284883.720930234,17787650.60240964,14959009.74025974,0.7004830236776747
Ashish Nehra,Bowler,55000000,Sunrisers Hyderabad,2016,Indian,17.822843761378564,1.352571931654979,-0.6446751850663216,18284883.720930234,19513392.85714286,14959009.74025974,0.9370226751170301
Ashish Reddy,Bowler,2000000,Sunrisers Hyderabad,2014,Indian,14.508658238524095,-1.0517081776423227,-1.319982884325854,18284883.720930234,19513392.85714286,14959009.74025974,0.162076444851182
Ashok Dinda,All-Rounder,15000000,Royal Challengers Bangalore,2014,Indian,16.52356082573315,0.4100054709122649,-1.319982884325854,19833904.10958904,19848913.04347826,14959009.74025974,0.633215176688291
Ashok Dinda,Bowler,5000000,Rising Pune Supergiant,2016,Indian,15.424948670398354,-0.386984116631616,-0.6446751850663216,18284883.720930234,11740740.74074074,14959009.74025974,0.3763299352224885
Ashok Sharma,Bowler,5500000,Kolkata Knight Riders,2022,Indian,15.520258832020865,-0.31784123847265683,1.381247912712276,18284883.720930234,18454439.25233645,14959009.74025974,0.39861602933099727
Ashton Turner,All-Rounder,5000000,Rajasthan Royals,2019,Indian,15.424948670398354,-0.386984116631616,0.3682863638229773,19833904.10958904,17672500.0,14959009.74025974,0.3763299352224885
